Estado,município,"População residente total, segundo o IBGE",Água,Indireta,População total atendida com abastecimento de água,QUANTIDADES DE ECONOMIAS ATIVAS,EXTRAVASAMENTOS DE ESGOTO
,,,,,,Total (ativas),Extravasamentos
,,habitante,R$/ano,R$/ano,habitante,economia,extravasamentos/ano
N - Norte,,,,,,,
Acre (AC),22,830018,63703231,470733,398459,134222,0
Amapá (AP),16,733759,64338064,1537835,344360,91366,183
Amazonas (AM),56,3840111,641649502,70472792,3135662,896579,6456
Pará (PA),121,7482752,640857984,18720300,4147153,1177842,439
Rondônia (RO),49,1563093,204658019,21574852,884665,311557,2713
Roraima (RR),15,636707,77302039,7716640,505536,127403,3690
Tocantins (TO),144,1790439,513456541,50425593,1422280,584727,360
Total por grupo:,423,16876879,2205965383,170918747,10838115,3323696,13841
NE - Nordeste,,,,,,,
Alagoas (AL),101,3102943,622221957,38711589,2395755,845365,4845
Bahia (BA),409,13993995,3106534347,179454260,11271677,4850841,152267
Ceará (CE),184,8794957,1590107801,189055155,6182693,2633234,6595
Maranhão (MA),196,6454423,651521803,43040248,3836991,1303583,7539
Paraíba (PB),214,3859960,791636773,73824430,2971873,1047960,14119
Pernambuco (PE),181,8962886,1637682790,22561241,7766224,2524419,41253
Piauí (PI),200,3155906,601633499,46031975,2298625,932261,3918
Rio Grande do Norte (RN),164,3251110,721404805,16963814,2590846,958278,11430
Sergipe (SE),75,2210004,606401191,71322329,2024733,718095,662
Total por grupo:,1724,53786184,10329144971,680965045,41339417,15814036,242628
SE - Sudeste,,,,,,,
Espírito Santo (ES),78,3833712,994947282,29222046,3199177,1348558,37491
Minas Gerais (MG),836,20461604,5149509145,225153716,17220808,8214941,261283
Rio de Janeiro (RJ),92,16055174,6356349814,423536270,14303160,5537058,45366
São Paulo (SP),643,44375688,13358839934,1082383267,42249326,19289773,160130
Total por grupo:,1649,84726178,25859646176,1760295300,76972471,34390330,504270
S - Sul,,,,,,,
Paraná (PR),399,11467591,3943892920,121625525,11018935,4564348,6770
Rio Grande do Sul (RS),485,10835867,4801452440,230524964,9548609,4512086,27336
Santa Catarina (SC),294,7615782,2557851165,165795963,6820974,2904903,6935
Total por grupo:,1177,29886270,11303196526,517946454,27388518,11981337,41041
CO - Centro-Oeste,,,,,,,
Distrito Federal (DF),1,2817381,998340850,139492120,2788897,1116158,10061
Goiás (GO),244,7049389,2085076457,89468355,6280842,2830889,32575
Mato Grosso do Sul (MS),79,2757013,1035926662,183363659,2366515,983388,13983
Mato Grosso (MT),127,3526155,815578896,89250099,3068179,1182569,21322
Total por grupo:,451,16149938,4934922866,501574234,14504433,6113004,77941
TOTALIZAÇÃO NACIONAL,5424,201425449,54632875924,3631699781,171042954,71622403,879721
